Store No,Auchan Store Name _LAttr02,Town,Street,Zip Code,full,full.address,Store Latitude,Store Longitude
FRA063,BOULIAC,BOULIAC,AV ANDRE REINSON,33270,Auchan BOULIAC [FRA063],<b>Auchan BOULIAC [FRA063]</b><br>AV ANDRE REINSON<br>F-33270 BOULIAC,44.817027,-0.526647
FRA064,PEROLS,PEROLS -Montpellier-,AUTOROUTE DE CARNON,34470,Auchan PEROLS [FRA064],<b>Auchan PEROLS [FRA064]</b><br>AUTOROUTE DE CARNON<br>F-34470 PEROLS -Montpellier-,43.572453,3.9425
FRA065,MAUREPAS,MAUREPAS,AV GUTENBERG,78310,Auchan MAUREPAS [FRA065],<b>Auchan MAUREPAS [FRA065]</b><br>AV GUTENBERG<br>F-78310 MAUREPAS,48.761865,1.916973
FRA066,ISSY,ISSY LES MOULINEAUX,3 ALL STE LUCIE,92130,Auchan ISSY [FRA066],<b>Auchan ISSY [FRA066]</b><br>3 ALL STE LUCIE<br>F-92130 ISSY LES MOULINEAUX,48.820458,2.251263
FRA067,MARSEILLE,MARSEILLE 10° Pont vivaux,57 BD ROMAIN ROLLAND,13010,Auchan MARSEILLE [FRA067],<b>Auchan MARSEILLE [FRA067]</b><br>57 BD ROMAIN ROLLAND<br>F-13010 MARSEILLE 10° Pont vivaux,43.27921,5.424217
FRA068,TOMBLAINE,TOMBLAINE -Nancy-,AV EUGENE POTTIER,54510,Auchan TOMBLAINE [FRA068],<b>Auchan TOMBLAINE [FRA068]</b><br>AV EUGENE POTTIER<br>F-54510 TOMBLAINE -Nancy-,48.685811,6.22143
FRA069,ARRAS,ARRAS,6 R CLAUDE BERNARD   ARRAS Bernard,62000,Auchan ARRAS [FRA069],<b>Auchan ARRAS [FRA069]</b><br>6 R CLAUDE BERNARD   ARRAS Bernard<br>F-62000 ARRAS,50.299719,2.734653
FRA070,TOULOUSE,TOULOUSE Gramont,RN 112,31200,Auchan TOULOUSE [FRA070],<b>Auchan TOULOUSE [FRA070]</b><br>RN 112<br>F-31200 TOULOUSE Gramont,43.632001,1.484443
FRA071,DOUAI,SIN LE NOBLE -Douai-,RN 17,59450,Auchan DOUAI [FRA071],<b>Auchan DOUAI [FRA071]</b><br>RN 17<br>F-59450 SIN LE NOBLE -Douai-,50.341674,3.098532
FRA081,NOGENT,CREIL -Nogent Sur Oise-,AV DE L'EUROPE,60180,Auchan NOGENT [FRA081],<b>Auchan NOGENT [FRA081]</b><br>AV DE L'EUROPE<br>F-60180 CREIL -Nogent Sur Oise-,49.271645,2.482881
FRA082,PAU,PAU,5 AV DU Gal LECLERC,64000,Auchan PAU [FRA082],<b>Auchan PAU [FRA082]</b><br>5 AV DU Gal LECLERC<br>F-64000 PAU,43.304596,-0.333734
FRA083,MONTAUBAN,MONTAUBAN,777 AV JEAN MOULIN,82000,Auchan MONTAUBAN [FRA083],<b>Auchan MONTAUBAN [FRA083]</b><br>777 AV JEAN MOULIN<br>F-82000 MONTAUBAN,44.030646,1.368461
FRA087,MARNE LA VALLEE,SERRIS -Marne La Vallée-,14 CRS DU DANUBE,77700,Auchan MARNE LA VALLEE [FRA087],<b>Auchan MARNE LA VALLEE [FRA087]</b><br>14 CRS DU DANUBE<br>F-77700 SERRIS -Marne La Vallée-,48.853912,2.777714
FRA088,BEAUVAIS,BEAUVAIS,1 AV DESCARTES,60000,Auchan BEAUVAIS [FRA088],<b>Auchan BEAUVAIS [FRA088]</b><br>1 AV DESCARTES<br>F-60000 BEAUVAIS,49.409893,2.116004
FRA089,VILLETANEUSE,VILLETANEUSE Bienvenu,189 AV LA DIVISION LECLERC,93430,Auchan VILLETANEUSE [FRA089],<b>Auchan VILLETANEUSE [FRA089]</b><br>189 AV LA DIVISION LECLERC<br>F-93430 VILLETANEUSE Bienvenu,48.949145,2.34389
FRA090,KREMLIN BICETRE,Kremlin Bicètre,13 rue Edmond Michelet,94270,Auchan KREMLIN BICETRE [FRA090],<b>Auchan KREMLIN BICETRE [FRA090]</b><br>13 rue Edmond Michelet<br>F-94270 Kremlin Bicètre,48.810839,2.362295
FRA093,SARCELLES,SARCELLES,200 avenue de la division Leclerc,95200,Auchan SARCELLES [FRA093],<b>Auchan SARCELLES [FRA093]</b><br>200 avenue de la division Leclerc<br>F-95200 SARCELLES,48.985754,2.372577
FRA101,DURY,DURY -Amiens-,RN 16,80480,Auchan DURY [FRA101],<b>Auchan DURY [FRA101]</b><br>RN 16<br>F-80480 DURY -Amiens-,49.86229,2.280465
FRA102,ST OMER,LONGUENESSE -St Omer-,RTE D'ARQUES,62219,Auchan ST OMER [FRA102],<b>Auchan ST OMER [FRA102]</b><br>RTE D'ARQUES<br>F-62219 LONGUENESSE -St Omer-,50.736083,2.270265
FRA103,ST QUENTIN,FAYET -St Quentin-,RN 29,2100,Auchan ST QUENTIN [FRA103],<b>Auchan ST QUENTIN [FRA103]</b><br>RN 29<br>F-2100 FAYET -St Quentin-,49.861217,3.252317
FRA104,MONTIVILLIERS,MONTIVILLIERS,CC LA LEZARDE,76290,Auchan MONTIVILLIERS [FRA104],<b>Auchan MONTIVILLIERS [FRA104]</b><br>CC LA LEZARDE<br>F-76290 MONTIVILLIERS,49.527558,0.19051
FRA105,CALAIS,CALAIS Boulogne,RTE DE BOULOGNE,62100,Auchan CALAIS [FRA105],<b>Auchan CALAIS [FRA105]</b><br>RTE DE BOULOGNE<br>F-62100 CALAIS Boulogne,50.94434,1.808241
FRA106,OSNY,OSNY,CHE DU POIRIER GUERIN,95520,Auchan OSNY [FRA106],<b>Auchan OSNY [FRA106]</b><br>CHE DU POIRIER GUERIN<br>F-95520 OSNY,49.077209,2.078204
FRA107,TAVERNY,TAVERNY Bois de Boissy,R THEROIGNE DE MERICOURT,95150,Auchan TAVERNY [FRA107],<b>Auchan TAVERNY [FRA107]</b><br>R THEROIGNE DE MERICOURT<br>F-95150 TAVERNY Bois de Boissy,49.013775,2.221097
FRA108,TOURS,TOURS Petite Arche,RTE DE PARIS,37100,Auchan TOURS [FRA108],<b>Auchan TOURS [FRA108]</b><br>RTE DE PARIS<br>F-37100 TOURS Petite Arche,47.427654,0.69889
FRA110,CHAMBRAY,CHAMBRAY LES TOURS,RTE DE JOUE LES TOURS,37170,Auchan CHAMBRAY [FRA110],<b>Auchan CHAMBRAY [FRA110]</b><br>RTE DE JOUE LES TOURS<br>F-37170 CHAMBRAY LES TOURS,47.338936,0.699725
FRA111,BLOIS,VINEUIL -Blois-,99 rue Pierre-Gilles de Gennes,41350,Auchan BLOIS [FRA111],<b>Auchan BLOIS [FRA111]</b><br>99 rue Pierre-Gilles de Gennes<br>F-41350 VINEUIL -Blois-,47.572785,1.373568
FRA113,AUBIERE,AUBIERE,101 AV JEAN MOULIN,63170,Auchan AUBIERE [FRA113],<b>Auchan AUBIERE [FRA113]</b><br>101 AV JEAN MOULIN<br>F-63170 AUBIERE,45.753537,3.127443
