Store No,Auchan Store Name _LAttr02,Town,Street,Zip Code,full,full.address,Store Latitude,Store Longitude
FRA017,MANTES,BUCHELAY -Mantes La Ville-,CD 110,78200,Auchan MANTES [FRA017],<b>Auchan MANTES [FRA017]</b><br>CD 110<br>F-78200 BUCHELAY -Mantes La Ville-,48.981608,1.683211
FRA018,ST GENIS,ST GENIS LAVAL,AV CH DE GAULLE,69230,Auchan ST GENIS [FRA018],<b>Auchan ST GENIS [FRA018]</b><br>AV CH DE GAULLE<br>F-69230 ST GENIS LAVAL,45.680405,4.791542
FRA019,OLIVET,OLIVET Verdun,AV DE VERDUN,45160,Auchan OLIVET [FRA019],<b>Auchan OLIVET [FRA019]</b><br>AV DE VERDUN<br>F-45160 OLIVET Verdun,47.869929,1.911576
FRA020,PERPIGNAN,PERPIGNAN Mas Galte,RN 9,66000,Auchan PERPIGNAN [FRA020],<b>Auchan PERPIGNAN [FRA020]</b><br>RN 9<br>F-66000 PERPIGNAN Mas Galte,42.669221,2.882811
FRA021,STRASBOURG,STRASBOURG Hautepierre,PL ANDRE  MAUROIS,67200,Auchan STRASBOURG [FRA021],<b>Auchan STRASBOURG [FRA021]</b><br>PL ANDRE  MAUROIS<br>F-67200 STRASBOURG Hautepierre,48.591563,7.6951
FRA022,MELUN,CESSON Melun,RN 6,77240,Auchan MELUN [FRA022],<b>Auchan MELUN [FRA022]</b><br>RN 6<br>F-77240 CESSON Melun,48.586904,2.60147
FRA023,VILLENEUVE 2,VILLENEUVE D'ASCQ,QRT HOTEL DE VILLE,59650,Auchan VILLENEUVE 2 [FRA023],<b>Auchan VILLENEUVE 2 [FRA023]</b><br>QRT HOTEL DE VILLE<br>F-59650 VILLENEUVE D'ASCQ,50.618112,3.130748
FRA024,MARTIGUES,MARTIGUES,RTE D'ISTRES,13500,Auchan MARTIGUES [FRA024],<b>Auchan MARTIGUES [FRA024]</b><br>RTE D'ISTRES<br>F-13500 MARTIGUES,43.423521,5.051432
FRA025,NICE,NICE -La Trinité-,RTE DE LAGHET,6340,Auchan NICE [FRA025],<b>Auchan NICE [FRA025]</b><br>RTE DE LAGHET<br>F-6340 NICE -La Trinité-,43.742536,7.318891
FRA026,CAMBRAI,ESCAUDOEUVRES -Cambrai-,2 R JEAN JAURES,59161,Auchan CAMBRAI [FRA026],<b>Auchan CAMBRAI [FRA026]</b><br>2 R JEAN JAURES<br>F-59161 ESCAUDOEUVRES -Cambrai-,50.185256,3.254551
FRA027,AUBAGNE,AUBAGNE,RTE DE GEMENOS,13400,Auchan AUBAGNE [FRA027],<b>Auchan AUBAGNE [FRA027]</b><br>RTE DE GEMENOS<br>F-13400 AUBAGNE,43.293822,5.59208
FRA028,VALENCIENNES,VALENCIENNES,2 AV DU Gal HORNE,59300,Auchan VALENCIENNES [FRA028],<b>Auchan VALENCIENNES [FRA028]</b><br>2 AV DU Gal HORNE<br>F-59300 VALENCIENNES,50.345562,3.518901
FRA029,MERIADECK,BASSENS Meriadeck,66  QUAI FRANCAIS,33290,Auchan MERIADECK [FRA029],<b>Auchan MERIADECK [FRA029]</b><br>66  QUAI FRANCAIS<br>F-33290 BASSENS Meriadeck,44.838671,-0.584946
FRA030,LE LAC,BORDEAUX Le Lac,BD ALIENOR D'AQUITAINE,33000,Auchan LE LAC [FRA030],<b>Auchan LE LAC [FRA030]</b><br>BD ALIENOR D'AQUITAINE<br>F-33000 BORDEAUX Le Lac,44.880403,-0.564947
FRA031,LA DEFENSE,PUTEAUX La défense,CC LES 4 TEMPS,92800,Auchan LA DEFENSE [FRA031],<b>Auchan LA DEFENSE [FRA031]</b><br>CC LES 4 TEMPS<br>F-92800 PUTEAUX La défense,48.890942,2.234975
FRA032,ST PRIEST,ST PRIEST Porte des Alpes,ZAC DE CHAMPS DU PONT,69800,Auchan ST PRIEST [FRA032],<b>Auchan ST PRIEST [FRA032]</b><br>ZAC DE CHAMPS DU PONT<br>F-69800 ST PRIEST Porte des Alpes,45.722349,4.925877
